"Date" "Hydraulic" "Pumping_Turbine" "Nuclear" "Coal" "Combined_cycle" "Wind" "Solar_Photovoltaic" "Solar_Thermal" "Other_Renewables" "Cogeneration" "Electricity" "Consumption" "Gas_Price" "CO2_Price" "Balance_France" "Balance_Portugal" "Balance_Morocco"
"66" "06/2015" 2497.589012 125.366831 3750.101549 5509.5659 2151.770152 2903.929343 889.206222 734.053937 288.140649 2063.674739 55.52 28238.28 NA 7.45 -744389.16 399332.68 347482.99
"67" "07/2015" 2060.397915 110.974056 4794.536939 6275.418031 3722.812314 3113.294279 933.157704 888.91771 309.891892 2160.629368 60.53 31545.42 NA 7.72 -661070.37 393695.57 466630.8
"68" "08/2015" 1643.7197 202.464244 4962.672806 5442.509919 2603.203326 3287.343707 831.901007 607.623488 317.503082 2039.374739 56.71 28013.303 NA 8.08 -679975.17 386392.26 518594.14
"69" "09/2015" 1609.521306 162.105536 4871.533734 4786.664984 2252.024385 3020.624862 722.203932 483.250153 307.429318 2151.16928 52.63 27130.046 NA 8.1 -464029.92 243457.3 367406.67
"70" "10/2015" 1650.166812 249.577276 4085.58256 4384.071273 2553.136502 3901.151161 537.711617 188.168866 314.764745 2214.357417 50.84 26577.443 NA 8.37 -476152.49 -340634.79 346242.52
"71" "11/2015" 1892.68313 276.574956 3964.219502 4665.864604 2467.549176 3724.598165 529.698664 226.817751 307.126189 2130.019273 52.68 27679.524 NA 8.51 -1076740.41 191072.34 409930.73
"72" "12/2015" 1439.096635 332.0933 4856.466533 4714.263913 2975.460709 3537.269294 393.749612 84.699065 289.737828 2181.661466 54.38 28063.155 NA 8.29 -1659758.1 353069.47 378522.73
"73" "01/2016" 3441.828122 454.984883 4607.560676 2695.05529 2197.917511 5624.577741 364.458262 59.913641 270.624559 2130.972857 38.5 28991.235 NA 6.82 -383094.02 -893803.18 412640.25
"74" "02/2016" 4052.881699 434.367601 3961.132227 1879.957172 1620.589313 6109.530739 480.081441 133.00979 261.567109 1970.774427 28.8 30026.225 16.3250777281502 5.16 -377507.02 -1017221.46 426863.8
"75" "03/2016" 4366.547421 351.102472 5190.041431 1767.82367 1664.034453 5443.970297 709.2895 387.860762 255.63042 2072.560103 28.65 28911.182 15.8521642595365 4.94 -288308.67 -354221.32 435888.17
